Ref,Val,Package,PosX,PosY,Rot,Side
"C39","1uF","C_0402_1005Metric",138.950000,-71.750000,180.000000,bottom
"C40","10uF","C_0402_1005Metric",139.700000,-70.350000,90.000000,bottom
"C42","100nF","C_0402_1005Metric",147.000000,-75.150000,180.000000,bottom
"C54","100nF","C_0402_1005Metric",152.500000,-64.750000,-90.000000,bottom
"C62","100nF","C_0402_1005Metric",152.500000,-66.600000,-90.000000,bottom
"C63","22uF","C_0805_2012Metric",146.462500,-94.720000,0.000000,bottom
"C68","100nF","C_0402_1005Metric",162.700000,-94.850000,180.000000,bottom
"C71","100nF","C_0402_1005Metric",152.262500,-98.190000,-90.000000,bottom
"C75","1uF","C_0402_1005Metric",152.262500,-96.320000,-90.000000,bottom
"D3","ESD9B5.0ST5G","D_SOD-923",146.439999,-96.220000,180.000000,bottom
"J9","LASER+","TestPoint_Keystone_5015_Micro_Mini",156.262500,-100.520000,0.000000,bottom
"Q1","BSS214NW","SOT-323_SC-70",156.162500,-97.020000,-90.000000,bottom
"R45","100k","R_0402_1005Metric",138.600000,-69.050000,-90.000000,bottom
"SW8","BOOT","SW_SPST_CK_KXT3",144.500000,-65.250000,0.000000,bottom
"U3","BME280","Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering",150.475000,-65.575000,-90.000000,bottom
"U6","S80KS5123GABHV020","BGA-24_6.0x8.0mm_Layout5x5_P1.0mm",157.250000,-71.950000,-90.000000,bottom
"U14","MAX30102","Maxim_OLGA-14_3.3x5.6mm_P0.8mm",150.000000,-83.500000,0.000000,bottom
