Ref,Val,Package,PosX,PosY,Rot,Side
"C21","1.5pF","C_0402_1005Metric",140.550000,-68.450000,-90.000000,top
"C22","1.5pF","C_0402_1005Metric",142.450000,-68.480000,90.000000,top
"C27","1uF","C_0402_1005Metric",155.300000,-72.450000,90.000000,top
"C28","100nF","C_0402_1005Metric",156.250000,-72.450000,90.000000,top
"C29","100nF","C_0402_1005Metric",159.250000,-73.450000,-90.000000,top
"C30","100nF","C_0402_1005Metric",157.750000,-70.500000,180.000000,top
"C31","C","C_0402_1005Metric",144.550000,-77.600000,-90.000000,top
"C32","C","C_0402_1005Metric",149.550000,-77.600000,-90.000000,top
"C33","10nF","C_0402_1005Metric",143.980000,-67.450000,0.000000,top
"C34","1uF","C_0402_1005Metric",143.980000,-66.500000,0.000000,top
"C35","100nF","C_0402_1005Metric",151.630000,-76.200000,90.000000,top
"C36","1uF","C_0402_1005Metric",152.550000,-76.200000,90.000000,top
"C37","100nF","C_0402_1005Metric",142.015000,-69.900000,180.000000,top
"C38","100nF","C_0402_1005Metric",140.615000,-70.350000,90.000000,top
"C41","1uF","C_0402_1005Metric",142.465000,-72.250000,-90.000000,top
"C43","100nF","C_0402_1005Metric",148.462500,-67.000000,-90.000000,top
"C46","C","C_0402_1005Metric",143.550000,-64.300000,90.000000,top
"C47","C","C_0402_1005Metric",148.750000,-64.300000,90.000000,top
"C48","1uF","C_0402_1005Metric",151.230000,-67.000000,180.000000,top
"C50","100nF","C_0402_1005Metric",151.230000,-66.050000,180.000000,top
"C51","1uF","C_0402_1005Metric",163.050000,-77.450000,90.000000,top
"C55","10uF","C_0402_1005Metric",163.362500,-85.070000,-90.000000,top
"C56","100nF","C_0402_1005Metric",163.812500,-86.470000,0.000000,top
"C57","10uF","C_0402_1005Metric",158.512500,-87.470000,-90.000000,top
"C58","10uF","C_0402_1005Metric",163.262500,-88.670000,90.000000,top
"C59","100nF","C_0402_1005Metric",149.867500,-66.470000,90.000000,top
"C67","100nF","C_0402_1005Metric",138.950000,-71.600000,0.000000,top
"C72","1uF","C_0402_1005Metric",152.150000,-83.850000,90.000000,top
"C73","4.7uF","C_0603_1608Metric",152.200000,-81.412500,90.000000,top
"C76","100nF","C_0402_1005Metric",151.200000,-83.850000,90.000000,top
"C77","100nF","C_0402_1005Metric",151.000000,-82.000000,90.000000,top
"C78","1uF","C_0402_1005Metric",156.262500,-99.520000,180.000000,top
"C81","4.7uF","C_0603_1608Metric",154.900000,-79.265000,90.000000,top
"C82","220nF","C_0603_1608Metric",165.400000,-77.100000,90.000000,top
"C84","10uF","C_0603_1608Metric",154.900000,-76.265000,90.000000,top
"D1","CUW Y3SH.B2-JD-42-6T","LED_CUW_Y3SH.B2-GFJD-5J6T-Z242-20-R18-Z",169.662500,-80.862500,90.000000,top
"D2","CUW Y3SH.B2-JD-42-6T","LED_CUW_Y3SH.B2-GFJD-5J6T-Z242-20-R18-Z",169.662500,-86.162500,90.000000,top
"J2","USB_C_Receptacle","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",133.837173,-76.177441,-115.000000,top
"J3","ESP_ANT","U.FL_Molex_MCRF_73412-0110_Vertical",140.550000,-65.130000,0.000000,top
"J5","Micro_SD_Card","MOLEX_503398-1892",138.681392,-90.084243,120.000000,top
"J6","TT143AMC12C","MOLEX_505550-2420",159.262500,-92.020000,0.000000,top
"J10","LASER-","TestPoint_Keystone_5015_Micro_Mini",156.262500,-102.020000,0.000000,top
"L3","XFL4020-222ME","L_Coilcraft_XxL4040",157.950000,-77.215000,90.000000,top
"L4","2.7nH","L_0402_1005Metric",141.500000,-68.480000,-90.000000,top
"L5","2nH","L_0402_1005Metric",142.015000,-70.850000,180.000000,top
"L6","24nH","C_0402_1005Metric",145.350000,-66.975000,-90.000000,top
"L7","10uH","L_1008_2520Metric",160.862500,-84.620000,180.000000,top
"L8","10uH","L_1008_2520Metric",165.112500,-89.220000,90.000000,top
"L9","LQM2HPN4R7MG0L","L_1008_2520Metric",162.600000,-80.600000,90.000000,top
"MK1","ICS-43434","InvenSense_ICS-43434-6_3.5x2.65mm",137.917501,-69.480001,-90.000000,top
"MK2","ICS-43434","InvenSense_ICS-43434-6_3.5x2.65mm",163.582500,-95.750000,90.000000,top
"R4","5","R_0603_1608Metric",168.262500,-82.170000,90.000000,top
"R8","0","R_0201_0603Metric",151.850000,-71.400000,0.000000,top
"R16","5.1k","R_0603_1608Metric",137.312500,-86.170000,90.000000,top
"R21","R","C_0402_1005Metric",147.050000,-79.000000,0.000000,top
"R23","10k","R_0402_1005Metric",141.065000,-71.800000,0.000000,top
"R26","0","R_0402_1005Metric",132.462500,-84.120000,90.000000,top
"R28","200k","R_0603_1608Metric",157.150000,-85.165000,180.000000,top
"R29","100k","R_0603_1608Metric",157.150000,-83.665000,0.000000,top
"R30","499k","R_0402_1005Metric",153.650000,-79.115000,-90.000000,top
"R35","0","R_0201_0603Metric",151.850000,-70.700000,0.000000,top
"R36","1k","C_0402_1005Metric",159.262500,-95.870000,180.000000,top
"R37","0","R_0201_0603Metric",151.850000,-70.000000,0.000000,top
"R44","0","R_0201_0603Metric",151.850000,-69.300000,0.000000,top
"R46","100k","R_0402_1005Metric",150.250000,-83.850000,-90.000000,top
"R47","100k","R_0402_1005Metric",163.912500,-73.620000,90.000000,top
"R48","100k","R_0402_1005Metric",164.850000,-75.150000,0.000000,top
"R49","100k","R_0402_1005Metric",165.012500,-91.870000,0.000000,top
"R50","0","R_0201_0603Metric",151.850000,-74.900000,0.000000,top
"R51","0","R_0201_0603Metric",151.850000,-74.200000,0.000000,top
"R52","0","R_0201_0603Metric",151.850000,-73.500000,0.000000,top
"R53","0","R_0201_0603Metric",151.850000,-72.800000,0.000000,top
