Designator,Footprint,Quantity,Value,LCSC Part #
"C21, C22",0402,2,1.5pF,
"C27, C34, C36, C39, C41, C48, C51, C72, C75, C78",0402,10,1uF,
"C28, C29, C30, C35, C37, C38, C42, C43, C50, C54, C56, C59, C62, C67, C68, C71, C76, C77",0402,18,100nF,
"C31, C32, C46, C47",0402,4,C,
C33,0402,1,10nF,
"C40, C55, C57, C58",0402,4,10uF,
C63,0805,1,22uF,
"C73, C81",0603,2,4.7uF,
C82,0603,1,220nF,
C84,0603,1,10uF,
"D1, D2",LED_CUW_Y3SH.B2-GFJD-5J6T-Z242-20-R18-Z,2,CUW Y3SH.B2-JD-42-6T,
D3,D_SOD-923,1,ESD9B5.0ST5G,
J10,TestPoint_Keystone_5015_Micro_Mini,1,LASER-,
J11,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,MTR+,
J13,TestPoint_THTPad_1.5x1.5mm_Drill0.7mm,1,MTR-,
J2,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle,
J3,U.FL_Molex_MCRF_73412-0110_Vertical,1,ESP_ANT,
J5,MOLEX_503398-1892,1,Micro_SD_Card,
J6,MOLEX_505550-2420,1,TT143AMC12C,
J7,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,BATT+,
J8,TestPoint_THTPad_2.0x2.0mm_Drill1.0mm,1,BATT-,
J9,TestPoint_Keystone_5015_Micro_Mini,1,LASER+,
L3,L_Coilcraft_XxL4040,1,XFL4020-222ME,
L4,0402,1,2.7nH,
L5,0402,1,2nH,
L6,0402,1,24nH,
"L7, L8",1008,2,10uH,
L9,1008,1,LQM2HPN4R7MG0L,
"MK1, MK2",InvenSense_ICS-43434-6_3.5x2.65mm,2,ICS-43434,
Q1,SOT-323_SC-70,1,BSS214NW,
R16,0603,1,5.1k,
R23,0402,1,10k,
R26,0402,1,0,
R28,0603,1,200k,
R29,0603,1,100k,
R30,0402,1,499k,
"R35, R37, R44, R50, R51, R52, R53, R54, R55, R8",0201,10,0,
R36,0402,1,1k,
R4,0603,1,5,
"R45, R46, R47, R48, R49",0402,5,100k,
SW1,SW_SPST_B3U-3000P,1,B3U-3000P,
"SW3, SW4, SW5",SW_SPST_B3U-3000P,3,SW_Push,
SW8,SW_SPST_CK_KXT3,1,BOOT,
U10,LGA-12_2x2mm_P0.5mm,1,LIS3MDL,
U13,VSSOP-10_3x3mm_P0.5mm,1,DRV2605LDGS,
U14,Maxim_OLGA-14_3.3x5.6mm_P0.8mm,1,MAX30102,
U16,SOT-23-6,1,AP3019AK,
U17,SOT-23-6,1,TLV62569DDC,
U3,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,
U5,BGA-24_6.0x8.0mm_Layout5x5_P1.0mm,1,MX25UM51245GXDI00,
U6,BGA-24_6.0x8.0mm_Layout5x5_P1.0mm,1,S80KS5123GABHV020,
U7,QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm_ThermalVias,1,ESP32-S3,
U9,WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm_ThermalVias,1,TPS65631W,
Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.768kHz,
Y2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,40MHz(10ppm),
