Designator,Mid X,Mid Y,Rotation,Layer
C21,140.55,-68.45,270.0,top
C22,142.45,-68.48,90.0,top
C27,155.3,-72.45,90.0,top
C28,156.25,-72.45,90.0,top
C29,159.25,-73.45,270.0,top
C30,157.75,-70.5,180.0,top
C31,144.55,-77.6,270.0,top
C32,149.55,-77.6,270.0,top
C33,143.98,-67.45,0.0,top
C34,143.98,-66.5,0.0,top
C35,151.63,-76.2,90.0,top
C36,152.55,-76.2,90.0,top
C37,142.015,-69.9,180.0,top
C38,140.615,-70.35,90.0,top
C39,138.95,-71.75,0.0,bottom
C40,139.7,-70.35,90.0,bottom
C41,142.465,-72.25,270.0,top
C42,147.0,-75.15,0.0,bottom
C43,148.4625,-67.0,270.0,top
C46,143.55,-64.3,90.0,top
C47,148.75,-64.3,90.0,top
C48,151.23,-67.0,180.0,top
C50,151.23,-66.05,180.0,top
C51,163.05,-77.45,90.0,top
C54,152.5,-64.75,270.0,bottom
C55,163.3625,-85.07,270.0,top
C56,163.8125,-86.47,0.0,top
C57,158.5125,-87.47,270.0,top
C58,163.2625,-88.67,90.0,top
C59,149.8675,-66.47,90.0,top
C62,152.5,-66.6,270.0,bottom
C63,146.4625,-94.72,180.0,bottom
C67,138.95,-71.6,0.0,top
C68,162.7,-94.85,0.0,bottom
C71,152.2625,-98.19,270.0,bottom
C72,152.15,-83.85,90.0,top
C73,152.2,-81.4125,90.0,top
C75,152.2625,-96.32,270.0,bottom
C76,151.2,-83.85,90.0,top
C77,151.0,-82.0,90.0,top
C78,156.2625,-99.52,180.0,top
C81,154.9,-79.265,90.0,top
C82,165.4,-77.1,90.0,top
C84,154.9,-76.265,90.0,top
D1,169.6625,-80.8625,90.0,top
D2,169.6625,-86.1625,90.0,top
D3,146.439999,-96.22,0.0,bottom
J10,156.2625,-102.02,0.0,top
J2,133.837173,-76.177441,245.0,top
J3,140.55,-65.13,0.0,top
J5,138.681392,-90.084243,120.0,top
J6,159.2625,-92.02,0.0,top
J9,156.2625,-100.52,180.0,bottom
L3,157.95,-77.215,90.0,top
L4,141.5,-68.48,270.0,top
L5,142.015,-70.85,180.0,top
L6,145.35,-66.975,270.0,top
L7,160.8625,-84.62,180.0,top
L8,165.1125,-89.22,90.0,top
L9,162.6,-80.6,90.0,top
MK1,137.917501,-69.480001,270.0,top
MK2,163.5825,-95.75,90.0,top
Q1,156.1625,-97.02,270.0,bottom
R16,137.3125,-86.17,90.0,top
R23,141.065,-71.8,0.0,top
R26,132.4625,-84.12,90.0,top
R28,157.15,-85.165,180.0,top
R29,157.15,-83.665,0.0,top
R30,153.65,-79.115,270.0,top
R35,151.85,-70.7,0.0,top
R36,159.2625,-95.87,180.0,top
R37,151.85,-70.0,0.0,top
R4,168.2625,-82.17,90.0,top
R44,151.85,-69.3,0.0,top
R45,138.6,-69.05,270.0,bottom
R46,150.25,-83.85,270.0,top
R47,163.9125,-73.62,90.0,top
R48,164.85,-75.15,0.0,top
R49,165.0125,-91.87,0.0,top
R50,151.85,-74.9,0.0,top
R51,151.85,-74.2,0.0,top
R52,151.85,-73.5,0.0,top
R53,151.85,-72.8,0.0,top
R54,151.85,-72.1,0.0,top
R55,151.85,-68.6,0.0,top
R8,151.85,-71.4,0.0,top
SW1,130.2125,-83.52,180.0,top
SW3,165.7125,-71.62,36.7,top
SW4,168.259185,-76.12,22.5,top
SW5,168.3125,-91.02,339.0,top
SW8,144.5,-65.25,180.0,bottom
U10,150.88,-64.3,0.0,top
U13,154.5125,-97.27,180.0,top
U14,150.0,-83.5,180.0,bottom
U16,165.6625,-80.62,270.0,top
U17,157.7,-81.215,0.0,top
U3,150.475,-65.575,0.0,bottom
U5,157.3,-66.25,90.0,top
U6,157.25,-71.95,270.0,bottom
U7,147.05,-72.05,90.0,top
U9,160.9125,-87.57,0.0,top
Y1,147.05,-77.35,0.0,top
Y2,146.15,-64.3,0.0,top
