"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U5";"BGA-24_6.0x8.0mm_Layout5x5_P1.0mm";1;"MX25UM51245GXDI00";;;
2;"C30,C28,C35,C38,C76,C62,C43,C59,C77,C37,C29,C50,C56,C54,C67,C42,C68,C71";"C_0402_1005Metric";18;"100nF";;;
3;"C27,C41,C34,C78,C48,C51,C36,C72,C75,C39";"C_0402_1005Metric";10;"1uF";;;
4;"R55,R54,R53,R52,R51,R50,R44,R37,R35,R8";"R_0201_0603Metric";10;"0";;;
5;"C82";"C_0603_1608Metric";1;"220nF";;;
6;"L9";"L_1008_2520Metric";1;"LQM2HPN4R7MG0L";;;
7;"U6";"BGA-24_6.0x8.0mm_Layout5x5_P1.0mm";1;"S80KS5123GABHV020";;;
8;"SW4,SW3,SW5";"SW_SPST_B3U-3000P";3;"SW_Push";;;
9;"R46,R45,R47,R48,R49";"R_0402_1005Metric";5;"100k";;;
10;"SW1";"SW_SPST_B3U-3000P";1;"B3U-3000P";;;
11;"L4";"L_0402_1005Metric";1;"2.7nH";;;
12;"MK1,MK2";"InvenSense_ICS-43434-6_3.5x2.65mm";2;"ICS-43434";;;
13;"C84";"C_0603_1608Metric";1;"10uF";;;
14;"C22,C21";"C_0402_1005Metric";2;"1.5pF";;;
15;"R4";"R_0603_1608Metric";1;"5";;;
16;"C33";"C_0402_1005Metric";1;"10nF";;;
17;"J10";"TestPoint_Keystone_5015_Micro_Mini";1;"LASER-";;;
18;"C32,C47,C46,C31";"C_0402_1005Metric";4;"C";;;
19;"R16";"R_0603_1608Metric";1;"5.1k";;;
20;"L6";"C_0402_1005Metric";1;"24nH";;;
21;"D2,D1";"LED_CUW_Y3SH.B2-GFJD-5J6T-Z242-20-R18-Z";2;"CUW Y3SH.B2-JD-42-6T";;;
22;"U13";"VSSOP-10_3x3mm_P0.5mm";1;"DRV2605LDGS";;;
23;"C55,C58,C57,C40";"C_0402_1005Metric";4;"10uF";;;
24;"J6";"MOLEX_505550-2420";1;"TT143AMC12C";;;
25;"U10";"LGA-12_2x2mm_P0.5mm";1;"LIS3MDL";;;
26;"R36";"C_0402_1005Metric";1;"1k";;;
27;"R29";"R_0603_1608Metric";1;"100k";;;
28;"R26";"R_0402_1005Metric";1;"0";;;
29;"C73,C81";"C_0603_1608Metric";2;"4.7uF";;;
30;"J2";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle";;;
31;"J7";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"BATT+";;;
32;"L5";"L_0402_1005Metric";1;"2nH";;;
33;"R28";"R_0603_1608Metric";1;"200k";;;
34;"U16";"SOT-23-6";1;"AP3019AK";;;
35;"U17";"SOT-23-6";1;"TLV62569DDC";;;
36;"J3";"U.FL_Molex_MCRF_73412-0110_Vertical";1;"ESP_ANT";;;
37;"U9";"WSON-10-1EP_2.5x2.5mm_P0.5mm_EP1.2x2mm_ThermalVias";1;"TPS65631W";;;
38;"Y2";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"40MHz(10ppm)";;;
39;"J5";"MOLEX_503398-1892";1;"Micro_SD_Card";;;
40;"U3";"Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering";1;"BME280";;;
41;"J8";"TestPoint_THTPad_2.0x2.0mm_Drill1.0mm";1;"BATT-";;;
42;"Y1";"Crystal_SMD_3215-2Pin_3.2x1.5mm";1;"32.768kHz";;;
43;"U7";"QFN-56-1EP_7x7mm_P0.4mm_EP4x4mm_ThermalVias";1;"ESP32-S3";;;
44;"R23";"R_0402_1005Metric";1;"10k";;;
45;"L7,L8";"L_1008_2520Metric";2;"10uH";;;
46;"L3";"L_Coilcraft_XxL4040";1;"XFL4020-222ME";;;
47;"R30";"R_0402_1005Metric";1;"499k";;;
48;"C63";"C_0805_2012Metric";1;"22uF";;;
49;"Q1";"SOT-323_SC-70";1;"BSS214NW";;;
50;"SW8";"SW_SPST_CK_KXT3";1;"BOOT";;;
51;"D3";"D_SOD-923";1;"ESD9B5.0ST5G";;;
52;"U14";"Maxim_OLGA-14_3.3x5.6mm_P0.8mm";1;"MAX30102";;;
53;"J11";"TestPoint_THTPad_1.5x1.5mm_Drill0.7mm";1;"MTR+";;;
54;"J13";"TestPoint_THTPad_1.5x1.5mm_Drill0.7mm";1;"MTR-";;;
55;"J9";"TestPoint_Keystone_5015_Micro_Mini";1;"LASER+";;;
